单位:(mV)
,CH1,CH2
频率,?,?
周期,?,?
1,12000.00,1640.00
2,12000.00,1640.00
3,12000.00,1600.00
4,12080.00,1640.00
5,12080.00,1680.00
6,12000.00,1640.00
7,12000.00,1640.00
8,12000.00,1640.00
9,12000.00,1680.00
10,12080.00,1640.00
11,11920.00,1640.00
12,12000.00,1640.00
13,12000.00,1640.00
14,12000.00,1640.00
15,12080.00,1640.00
16,12000.00,1600.00
17,12000.00,1640.00
18,12080.00,1640.00
19,12000.00,1600.00
20,12080.00,1600.00
21,12080.00,1640.00
22,12000.00,1640.00
23,12080.00,1640.00
24,12000.00,1640.00
25,12080.00,1640.00
26,11920.00,1640.00
27,11920.00,1600.00
28,12000.00,1600.00
29,12080.00,1680.00
30,11920.00,1640.00
31,12080.00,1600.00
32,12080.00,1600.00
33,12000.00,1640.00
34,12000.00,1680.00
35,12000.00,1600.00
36,12000.00,1600.00
37,12080.00,1600.00
38,12080.00,1640.00
39,12000.00,1640.00
40,12080.00,1600.00
41,12000.00,1600.00
42,12000.00,1640.00
43,12000.00,1640.00
44,11920.00,1640.00
45,12080.00,1600.00
46,12000.00,1640.00
47,12080.00,1680.00
48,12080.00,1640.00
49,12000.00,1680.00
50,12000.00,1600.00
51,12080.00,1640.00
52,11920.00,1640.00
53,12080.00,1640.00
54,12000.00,1640.00
55,12000.00,1640.00
56,12000.00,1640.00
57,12000.00,1640.00
58,12000.00,1640.00
59,12080.00,1680.00
60,12000.00,1640.00
61,12080.00,1640.00
62,12080.00,1640.00
63,12000.00,1640.00
64,12080.00,1680.00
65,12000.00,1640.00
66,12000.00,1640.00
67,12080.00,1640.00
68,12000.00,1640.00
69,12080.00,1640.00
70,12080.00,1640.00
71,12080.00,1640.00
72,12080.00,1640.00
73,12000.00,1600.00
74,12000.00,1640.00
75,12000.00,1600.00
76,12080.00,1600.00
77,12000.00,1640.00
78,12080.00,1640.00
79,11920.00,1680.00
80,12000.00,1640.00
81,12080.00,1640.00
82,12000.00,1680.00
83,12000.00,1640.00
84,12000.00,1640.00
85,12000.00,1640.00
86,12080.00,1600.00
87,12000.00,1640.00
88,12000.00,1640.00
89,12000.00,1600.00
90,12000.00,1680.00
91,12000.00,1600.00
92,12000.00,1640.00
93,12080.00,1640.00
94,12080.00,1600.00
95,12080.00,1640.00
